foot,channel,mass_g,trial_1,trial_2,trial_3,mean_response,median_response,std_response,cv_percent,noise_3sigma,signal_to_3sigma,screening_flag
Left,3,2000.0,4610.7,5708.299999999999,4536.299999999999,4951.766666666666,4610.7,656.2323165871467,13.252488672470028,214.20000000000002,23.11749144102085,GOOD
Left,4,2000.0,44.800000000000004,72.19999999999999,0.0,39.0,44.800000000000004,36.44777085090389,93.45582269462537,207.60000000000002,0.18786127167630057,WEAK
Left,5,2000.0,86.10000000000001,0.09999999999999964,84.7,56.96666666666667,84.7,49.25295253417133,86.45924962113163,207.29999999999998,0.2748030229940505,WEAK
Left,6,2000.0,402.40000000000003,90.39999999999999,0.0,164.26666666666668,90.39999999999999,211.12473406338097,128.52560921066208,210.0,0.7822222222222223,WEAK
Left,8,2000.0,4401.0,3742.2,3862.2,4001.7999999999997,3862.2,350.88528039802424,8.768186326103859,197.70000000000002,20.241780475467877,GOOD
Left,9,2000.0,67.4,102.6,24.6,64.86666666666667,67.4,39.06166065764912,60.21838744755773,199.5,0.3251461988304094,WEAK
Left,10,2000.0,51.0,25.400000000000002,184.4,86.93333333333334,51.0,85.37361028639549,98.20584005336904,204.60000000000002,0.42489410231345714,WEAK
Left,11,2000.0,105.4,1762.0,0.0,622.4666666666667,105.4,988.2709412571703,158.7668857112301,220.5,2.8229780801209374,WEAK
